,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
737,Marco Benassi,Fiorentina, 28, M(CR),,,1(1),93,-,-,-,-,-,91.3,1.5,-,6.48
738,Andrea Cambiaso,Bologna, 22, D(R),M(L),,11(5),960,-,2,2,-,0.4,79.3,0.2,-,6.47
739,Stephan El Shaarawy,Roma, 30, M(CLR),FW,,2(10),416,1,-,-,-,0.8,80.7,0.3,-,6.47
740,Filip Djuricic,Sampdoria, 30, AM(CLR),FW,,14(3),1152,2,-,6,-,0.8,77.8,0.5,-,6.47
741,Michele Castagnetti,Cremonese, 33, DMC,,,5(6),518,-,-,1,-,0.5,75.6,0.4,-,6.47
742,Assan Ceesay,Lecce, 28, FW,,,10(7),911,3,-,1,-,1.2,60.1,1.9,1,6.47
743,Filippo Ranocchia,Monza, 21, Midfielder,,,5(5),464,1,-,1,-,1.3,82.1,0.1,-,6.47
744,Divock Origi,AC Milan, 27, AM(LR),FW,,4(7),453,1,1,1,-,1.4,68.2,0.8,1,6.47
745,Duván Zapata,Atalanta, 31, FW,,,8(4),623,1,1,1,-,1.3,69.5,1.8,-,6.46
746,Matías Vecino,Lazio, 31, M(C),,,9(8),875,1,-,2,-,0.9,84.5,0.5,-,6.46
747,Bram Nuytinck,Udinese, 32, D(C),,,3(3),382,-,-,1,-,0.2,82.9,1.2,-,6.46
748,Aleksa Terzic,Fiorentina, 23, Defender,,,2(7),273,-,-,-,-,0.3,85.3,0.2,-,6.46
749,Pawel Dawidowicz,Verona, 27, D(C),,,9(1),721,1,-,4,1,0.7,73.3,1.7,-,6.46
750,Simone Verdi,Verona, 30, AM(CLR),FW,,5(5),494,1,-,1,-,1.2,73,0.3,-,6.46
751,Matteo Gabbia,AC Milan, 23, D(C),,,4(4),421,-,-,-,-,0.1,79.6,1.5,-,6.45
752,Brandon Soppy,Atalanta, 20, D(R),M(LR),,7(3),530,-,3,2,-,0.5,78.8,0.3,1,6.45
753,Moise Kean,Juventus, 22, AM(LR),FW,,7(9),636,4,-,3,-,1.7,74.1,0.2,1,6.45
754,Tomás Rincón,Sampdoria, 35, M(CR),,,15(1),1220,-,2,2,1,0.6,82.1,1.1,-,6.45
755,Omar Colley,Sampdoria, 30, D(C),,,13(1),1215,1,-,5,-,0.4,86.1,1.8,-,6.44
756,Luka Lochoshvili,Cremonese, 24, D(C),,,14,1144,-,1,3,-,0.3,79.1,1.4,-,6.44
757,Rogerio,Sassuolo, 25, D(L),M(L),,16(1),1424,-,2,4,-,0.4,82.6,0.5,1,6.44
758,Bartosz Bereszynski,Sampdoria, 30, D(CLR),M(R),,15,1203,-,-,1,-,0.2,75.5,1.2,-,6.44
759,Charles De Ketelaere,AC Milan, 21, M(CLR),FW,,5(10),608,-,1,2,-,0.7,77.5,0.8,-,6.44
760,Riccardo Saponara,Fiorentina, 31, AM(CL),,,5(9),554,1,2,1,-,1.1,78.7,0.2,1,6.44
761,Leonardo Spinazzola,Roma, 29, D(LR),M(L),,8(4),763,-,1,-,-,0.3,77,0.4,-,6.44
762,Lorenzo Venuti,Fiorentina, 27, D(CLR),M(LR),,4(4),465,-,1,-,-,0.5,85.4,0.8,-,6.44
763,Sebastian Walukiewicz,Empoli, 22, D(C),,,1(2),147,-,-,-,-,0.3,90.5,-,-,6.44
764,Elseid Hysaj,Lazio, 28, D(LR),M(R),,4(10),485,-,1,2,-,0.1,85,0.4,-,6.43
765,Andrea Pinamonti,Sassuolo, 23, FW,,,16(1),1312,3,-,2,-,2.4,64.2,1.2,-,6.43
766,Tommaso Pobega,AC Milan, 23, M(C),,,6(5),550,1,-,1,-,0.9,75.4,0.8,-,6.43
767,Koni de Winter,Empoli, 20, D(C),,,6(2),532,-,-,3,-,-,88.2,1.1,-,6.43
768,Nicola Zalewski,Roma, 20, M(L),,,9(5),778,-,-,1,-,0.6,80.7,0.1,-,6.43
769,Mërgim Vojvoda,Torino, 27, D(CR),M(LR),,7(5),692,-,3,1,-,0.3,78.5,0.3,-,6.43
770,Roberto Soriano,Bologna, 31, AM(CLR),,,8(9),776,-,3,1,-,0.5,79.9,0.4,-,6.43
771,Andrea Colpani,Monza, 23, Midfielder,,,4(9),420,2,-,-,-,0.9,83.8,-,-,6.43
772,Charles Pickel,Cremonese, 25, M(C),,,15(2),1263,1,-,4,-,1,79.8,1.6,-,6.43
773,Giacomo Raspadori,Napoli, 22, AM(CL),FW,,7(6),556,1,-,1,-,1.8,78.1,0.1,-,6.43
774,Paolo Ghiglione,Cremonese, 25, D(R),M(R),,6,470,-,1,2,-,0.5,60.2,0.3,-,6.43
775,Leandro Paredes,Juventus, 28, DMC,,,3(9),471,-,-,2,-,0.8,94,0.1,-,6.43
776,Martín Satriano,Empoli, 21, FW,,,14(2),1094,1,1,3,-,1.7,72.8,1.6,-,6.42
777,Nemanja Radonjic,Torino, 26, M(CLR),,,9(8),848,2,1,-,-,2,69.7,0.4,2,6.42
778,Kevin Agudelo,Spezia, 24, AM(CR),FW,,12(5),1100,-,-,2,-,0.8,73.7,0.4,-,6.42
779,Antonio Candreva,Salernitana, 35, M(CLR),,,15(2),1352,2,1,1,1,1.2,79.7,-,-,6.42
780,Marco Sportiello,Atalanta, 30, GK,,,6(1),622,-,-,-,-,-,75.6,0.3,-,6.42
781,Mattia Caldara,Spezia, 28, D(C),,,7(4),712,-,-,3,-,0.7,75.1,1.6,-,6.42
782,Luka Romero,Lazio, 18, Midfielder,,,1(3),124,1,-,-,-,0.8,87.7,0.5,-,6.41
783,Jean-Victor Makengo,Udinese, 24, AM(CL),,,11(4),791,-,1,2,-,0.5,85.6,0.3,-,6.41
784,Gianluca Caprari,Monza, 29, AM(CLR),FW,,15(3),1103,3,1,2,-,1.6,84.5,0.2,-,6.41
785,Jeremy Toljan,Sassuolo, 28, D(LR),M(LR),,17(1),1589,-,1,2,-,0.2,82.5,0.2,-,6.40
786,Federico Di Francesco,Lecce, 28, M(LR),FW,,10(8),837,1,2,4,-,0.8,71.7,0.2,1,6.40
787,Mady Camara,Roma, 25, M(C),,,5(3),380,-,-,1,-,0.5,80.9,0.3,-,6.40
788,Rick Karsdorp,Roma, 27, D(R),M(R),,7(2),550,-,-,-,-,0.1,77.7,0.4,-,6.40
789,Samuele Birindelli,Monza, 23, M(R),,,9(6),803,-,1,3,-,0.7,73.6,0.1,-,6.40
790,Sergiño Dest,AC Milan, 22, D(LR),M(R),,1(6),238,-,-,-,-,0.3,86.2,0.4,-,6.40
791,Pietro Terracciano,Fiorentina, 32, GK,,,15,1350,-,-,1,-,-,72.2,0.3,1,6.39
792,Thomas Henry,Verona, 28, FW,,,13(2),1031,2,-,4,-,1.1,54.5,2.8,1,6.39
793,Matheus Henrique,Sassuolo, 25, M(C),,,5(5),574,-,-,2,-,0.7,86.6,0.4,-,6.39
794,Jerdy Schouten,Bologna, 26, DMC,,,11(3),992,-,1,1,-,0.2,83,0.6,-,6.39
795,Luka Jovic,Fiorentina, 25, FW,,,10(6),800,3,-,2,-,1.8,76.4,0.9,1,6.39
796,Luca Zanimacchia,Cremonese, 24, AM(C),,,9(5),730,-,-,2,-,1.3,74.5,0.1,-,6.39
797,Riccardo Orsolini,Bologna, 25, M(CR),FW,,9(6),884,3,1,2,1,2.1,64.6,0.4,-,6.39
798,Lorenzo Colombo,Lecce, 20, FW,,,8(8),701,4,2,2,-,1.3,66.2,1,-,6.39
799,Marash Kumbulla,Roma, 22, D(C),,,2(2),133,-,-,1,-,0.3,93.8,0.8,-,6.39
800,Andrea Consigli,Sassuolo, 35, GK,,,17,1530,-,-,-,-,-,76.4,0.4,1,6.38
801,Rui Patrício,Roma, 34, GK,,,18,1620,-,-,1,-,-,77.6,0.1,-,6.38
802,Bruno Amione,Sampdoria, 21, D(C),,,7,524,-,1,4,-,0.6,75.1,3.6,-,6.38
803,Nikola Moro,Bologna, 24, DMC,,,2(4),240,-,1,-,-,0.5,73.4,0.2,-,6.38
804,Nicolas Haas,Empoli, 26, M(C),,,9(4),775,1,-,2,-,0.5,76.7,0.2,-,6.38
805,Isaac Success,Udinese, 27, AM(LR),FW,,11(7),1010,-,4,3,-,0.9,66.1,1.3,-,6.38
806,Liberato Cacace,Empoli, 22, D(L),M(L),,1(2),135,-,-,-,-,0.3,81.2,0.7,-,6.38
807,Petar Zovko,Spezia, 20, Goalkeeper,,,0(1),72,-,-,-,-,-,57.6,-,-,6.38
808,Nicolò Cambiaghi,Empoli, 22, Forward,,,1(11),302,1,1,1,-,0.5,83.3,0.1,-,6.38
809,Andrea Petagna,Monza, 27, FW,,,8(5),711,1,3,1,-,0.9,74,0.8,-,6.38
810,Sofyan Amrabat,Fiorentina, 26, DMC,,,11(4),935,-,-,7,-,0.5,90.3,0.3,-,6.38
811,Joakim Maehle,Atalanta, 25, D(LR),M(LR),,9(7),870,-,1,2,-,0.7,80.8,0.1,-,6.38
812,Berat Djimsiti,Atalanta, 29, D(C),,,3(3),344,-,-,1,-,0.2,88,0.3,-,6.37
813,Marlon Santos,Monza, 27, D(C),,,12(2),968,-,-,3,-,0.2,91.8,1.6,-,6.37
814,Alex Ferrari,Sampdoria, 28, D(CR),,,10(2),869,-,-,3,-,0.4,85.1,1.8,-,6.37
815,Johan Vásquez,Cremonese, 24, D(CL),,,3(4),355,-,-,3,-,0.3,72.8,1,-,6.37
816,Matías Viña,Roma, 25, D(L),M(L),,1(2),55,-,-,-,-,-,77.8,0.3,-,6.37
817,Fabio Miretti,Juventus, 19, AM(C),,,8(8),766,-,1,1,-,1,73.5,0.2,-,6.36
818,Miguel Veloso,Verona, 36, M(C),,,10(5),849,-,-,4,-,0.9,76.6,0.5,-,6.36
819,Pedro Obiang,Sassuolo, 30, DMC,,,4(3),298,-,1,-,-,0.4,85.4,0.3,-,6.36
820,Martin Hongla,Verona, 24, D(C),DMC,,6(3),524,-,-,4,-,0.6,80.8,0.6,-,6.36
821,Mehdi Léris,Sampdoria, 24, M(CLR),,,13(3),1093,-,1,7,-,0.7,72,1.8,-,6.35
822,Enzo Ebosse,Udinese, 23, D(C),,,8(8),887,-,-,3,-,0.2,84.7,0.9,-,6.35
823,Kristian Thorstvedt,Sassuolo, 23, M(C),,,11(6),866,1,1,3,-,0.8,77.7,1.2,-,6.35
824,Filippo Terracciano,Verona, 19, Midfielder,,,4(6),480,-,-,-,-,0.3,72.2,1.3,-,6.35
825,Adam Ounas,Napoli, 26, AM(CLR),FW,,0(2),13,-,-,-,-,0.5,81.3,0.5,-,6.35
826,Benjamin Tahirovic,Roma, 19, Midfielder,,,1(3),125,-,-,1,-,-,89.1,0.5,-,6.35
827,Soualiho Meïté,Cremonese, 28, M(C),,,11(1),874,-,-,5,-,0.7,82.1,0.8,-,6.35
828,Joaquín Correa,Inter, 28, AM(CL),FW,,3(12),367,3,1,1,-,0.6,72.4,0.3,-,6.34
829,Hans Nicolussi Caviglia,Salernitana, 22, Midfielder,,,2,180,1,-,-,-,0.5,80,0.5,-,6.34
830,Lameck Banda,Lecce, 21, AM(L),,,11(7),981,1,1,3,-,1,69.1,0.2,1,6.34
831,Mattia De Sciglio,Juventus, 30, D(CLR),M(LR),,4(4),460,-,-,-,-,0.4,84.2,0.8,-,6.34
832,Matìas Soulé,Juventus, 19, Midfielder,,,2(6),189,-,-,-,-,0.4,86.1,0.3,-,6.34
833,Giulio Maggiore,Salernitana, 24, M(C),,,9(1),659,-,-,1,-,0.4,77.2,0.6,-,6.34
834,Cristian Buonaiuto,Cremonese, 30, Midfielder,,,3(11),474,-,-,-,-,1.6,70.8,0.2,-,6.34
835,Federico Bonazzoli,Salernitana, 25, AM(C),FW,,10(7),870,2,1,1,-,1.5,75.6,0.2,-,6.34
836,Flavio Paoletti,Sampdoria, 20, Midfielder,,,0(2),28,-,-,-,-,-,90.9,-,-,6.34
837,Adama Soumaoro,Bologna, 30, D(CR),,,12(1),1056,-,-,1,1,0.2,92,1.3,-,6.33
838,Tolgay Arslan,Udinese, 32, M(C),,,7(10),621,1,-,1,-,0.8,83.9,0.2,-,6.33
839,David Zima,Torino, 22, D(C),,,4(4),384,-,-,-,-,0.5,77.7,1.8,-,6.33
840,Samuel Iling-Junior,Juventus, 19, Forward,,,0(4),45,-,1,1,-,-,92.9,0.3,-,6.33
841,Diego Coppola,Verona, 19, D(C),,,6,496,-,-,3,-,0.3,72.4,2.3,-,6.33
842,Tommaso Augello,Sampdoria, 28, D(L),M(L),,15(2),1360,1,2,1,-,0.2,77.7,0.9,-,6.33
843,Giovanni Simeone,Napoli, 27, AM(R),FW,,0(9),148,2,-,1,-,0.4,72.7,0.2,-,6.33
844,Giulio Donati,Monza, 32, D(LR),M(R),,2(2),212,-,-,1,-,0.3,88.7,0.5,-,6.33
845,Daniel Maldini,Spezia, 21, Forward,,,1(5),185,1,-,-,-,0.8,75,0.7,-,6.32
846,Demba Seck,Torino, 21, Forward,,,3(4),232,-,-,-,-,0.7,76.1,0.1,-,6.32
847,Nedim Bajrami,Empoli, 23, AM(C),,,7(10),839,1,-,-,-,1.1,79,0.1,-,6.32
848,Danilo D'Ambrosio,Inter, 34, D(CLR),M(LR),,1(3),105,-,-,1,-,-,87.9,0.3,-,6.32
849,Sam Lammers,Sampdoria, 25, FW,,,3,245,-,-,-,-,1.7,76.9,1.7,-,6.31
850,Giuseppe Pezzella,Lecce, 25, D(L),M(L),,6(1),499,-,-,1,-,-,82.7,0.7,-,6.31
851,Alessandro Zanoli,Napoli, 22, D(R),,,0(1),11,-,-,-,-,1,88.9,-,-,6.31
852,Gian Marco Ferrari,Sassuolo, 30, D(C),,,16(1),1444,-,-,5,-,0.2,85.5,1.4,-,6.31
853,Mattia Valoti,Monza, 29, AM(CL),,,2(3),220,-,-,-,-,0.2,84.8,1.2,-,6.31
854,Cyriel Dessers,Cremonese, 28, FW,,,14(2),1091,3,1,2,-,2.2,64.4,0.4,-,6.31
855,Marko Pjaca,Empoli, 27, AM(CL),FW,,5(4),401,-,-,-,-,1.4,83.1,0.4,-,6.31
856,Jeison Murillo,Sampdoria, 30, D(C),,,8(3),687,-,-,3,-,0.1,82.1,2.3,-,6.31
857,Roberto Gagliardini,Inter, 28, DMC,,,2(6),300,-,-,1,-,1,80.5,0.9,-,6.30
858,Frank Tsadjout,Cremonese, 23, Forward,,,2(3),187,-,1,1,-,1.2,64.3,1.6,-,6.30
859,Antonín Barak,Fiorentina, 28, AM(CR),,,9(5),829,1,-,2,-,0.7,80.4,0.6,-,6.30
860,Yayah Kallon,Verona, 21, AM(C),,,6(9),599,1,1,1,-,0.7,70.6,0.5,-,6.29
861,Alfred Duncan,Fiorentina, 29, DMC,,,5(7),472,-,-,-,-,0.2,77.4,0.4,-,6.29
862,Jaime Báez,Cremonese, 27, Forward,,,1(1),96,-,-,-,-,1,71.8,0.5,-,6.29
863,Nicolás González,Fiorentina, 24, M(CLR),FW,,2(6),248,2,-,2,-,1.5,67.1,1,-,6.29
864,Ilija Nestorovski,Udinese, 32, FW,,,0(9),104,1,1,2,-,0.3,74.2,0.1,-,6.29
865,Emil Bohinen,Salernitana, 23, DMC,,,3(5),269,-,-,-,-,0.3,85.5,0.1,-,6.29
866,Yacine Adli,AC Milan, 22, M(C),,,1(3),115,-,-,1,-,0.5,67.3,-,-,6.29
867,Manolo Gabbiadini,Sampdoria, 31, AM(CLR),FW,,8(8),799,2,1,3,-,2,66.7,1.3,1,6.29
868,Sulemana,Verona, 19, Midfielder,,,2(6),271,-,-,2,-,1,72.9,0.8,-,6.28
869,Lorenzo Pirola,Salernitana, 20, D(C),,,5(3),499,-,-,-,-,0.1,79,1,-,6.28
870,Youssef Maleh,Lecce, 24, M(C),,,1(2),95,-,-,1,-,1,61.5,1,-,6.28
871,Adrien Tameze,Verona, 28, M(C),,,15(2),1306,-,-,1,-,0.4,75.7,0.8,-,6.28
872,Marcos Antônio,Lazio, 22, DMC,,,3(6),275,-,-,1,-,-,90.1,-,-,6.28
873,Valerio Verre,Sampdoria, 29, AM(CL),FW,,6(11),629,-,-,5,-,0.8,76.2,0.6,-,6.27
874,Dimitrios Nikolaou,Spezia, 24, D(C),,,16(1),1419,-,-,5,1,0.3,80.5,0.6,-,6.27
875,Andrea Barberis,Monza, 29, M(C),,,3(4),312,-,1,-,-,0.3,85.6,0.3,-,6.27
876,Daniel Ciofani,Cremonese, 37, FW,,,2(13),279,3,-,-,-,0.8,57.6,1.2,-,6.27
877,Alexis Saelemaekers,AC Milan, 23, M(R),,,6(4),460,-,1,1,-,0.9,76.9,0.2,-,6.27
878,Mario Gila,Lazio, 22, D(C),,,0(4),86,-,-,-,-,-,91.5,-,-,6.27
879,Marco Faraoni,Verona, 31, D(R),M(R),,7(1),480,-,2,3,-,1.3,67.1,0.4,-,6.27
880,Dodô,Fiorentina, 24, D(R),,,13(2),1022,-,1,3,1,0.2,86.3,0.6,-,6.26
881,Gonzalo Escalante,Cremonese, 29, DMC,,,7(2),556,-,1,-,1,0.7,77.6,1,-,6.26
882,Salvador Ferrer,Spezia, 24, D(R),,,0(1),13,-,-,-,-,-,40,2,-,6.26
883,Szymon Zurkowski,Spezia, 25, M(C),,,0(1),8,-,-,-,-,-,50,-,-,6.26
884,Igor Julio,Fiorentina, 24, D(C),M(L),,11(2),994,-,-,4,1,0.2,89.2,1.5,-,6.26
885,Remi Oudin,Lecce, 26, M(CLR),FW,,1(11),241,-,-,1,-,0.6,62.7,0.3,-,6.26
886,José Machín,Monza, 26, M(C),,,4(3),333,-,-,3,-,0.3,85,0.1,-,6.26
887,Jacopo Fazzini,Empoli, 19, Midfielder,,,2(7),215,-,-,2,-,0.2,86.1,0.1,-,6.25
888,Emmanuel Gyasi,Spezia, 29, M(LR),FW,,16,1309,1,-,4,-,1.3,81.9,0.6,-,6.25
889,Kevin Bonifazi,Bologna, 26, D(C),,,4(3),415,-,-,1,-,0.3,86,0.1,-,6.25
890,Daniele Verde,Spezia, 26, AM(CLR),,,2(6),278,-,-,-,-,1.3,64.6,-,-,6.25
891,Szymon Zurkowski,Fiorentina, 25, M(C),,,0(2),30,-,1,-,-,1,94.4,0.5,-,6.25
892,Tanguy Ndombélé,Napoli, 26, M(C),,,6(10),516,-,-,2,-,0.8,90.3,0.3,-,6.25
893,Liam Henderson,Empoli, 26, AM(C),,,7(6),600,-,1,4,-,0.4,80.1,0.2,-,6.24
894,Mert Müldür,Sassuolo, 23, D(R),,,1,7,-,-,-,-,-,100,-,-,6.24
895,Nicola Sansone,Bologna, 31, AM(LR),FW,,5(5),422,1,-,2,-,1.4,79.6,-,-,6.24
896,Kaan Ayhan,Sassuolo, 28, D(CR),DMC,,5(5),543,-,-,1,-,0.1,86.9,0.3,-,6.24
897,Alessandro Bianco,Fiorentina, 20, Midfielder,,,2,110,-,-,-,-,1,87.2,0.5,-,6.24
898,Agustín Álvarez Martínez,Sassuolo, 21, Forward,,,1(12),247,1,1,1,-,0.8,84.9,0.5,-,6.23
899,Ignacio Pussetto,Sampdoria, 27, AM(CLR),FW,,1(4),150,-,-,1,-,0.4,66.7,0.8,-,6.22
900,Kingsley Ehizibue,Udinese, 27, D(R),M(R),,2(11),367,-,-,2,-,0.2,74.4,0.5,-,6.22
901,Lorenzo De Silvestri,Bologna, 34, D(R),M(R),,5(4),517,-,-,1,-,0.4,68.4,1,-,6.22
902,Petko Hristov,Spezia, 23, D(C),,,3(5),317,-,-,-,-,0.1,80.3,1.1,-,6.22
903,Erik Botheim,Salernitana, 23, Forward,,,3(12),327,1,1,1,-,0.3,65.4,0.9,-,6.22
904,Pietro Pellegri,Torino, 21, FW,,,4(7),370,1,-,2,-,0.5,76.4,0.7,-,6.21
905,Ronaldo Vieira,Sampdoria, 24, DMC,,,8(6),773,-,-,3,-,0.3,87.8,0.6,-,6.21
906,Nicolò Zaniolo,Roma, 23, AM(CR),FW,,12(1),898,1,-,4,-,2.2,69.5,0.4,-,6.21
907,Michel Aebischer,Bologna, 26, AM(CR),,,8(8),752,1,-,3,-,0.6,83.8,0.3,-,6.21
908,Kristoffer Askildsen,Lecce, 22, M(C),,,6(7),504,-,-,2,-,0.7,68.8,0.8,-,6.21
909,Toma Basic,Lazio, 26, M(C),,,4(9),362,-,-,1,-,0.5,78.1,0.6,-,6.20
910,Robin Gosens,Inter, 28, D(L),M(CL),,1(14),282,1,-,1,-,0.2,80.6,0.4,-,6.20
911,Gianluca Gaetano,Napoli, 22, Midfielder,,,0(3),33,-,1,-,-,0.7,78.3,-,-,6.20
912,Grigoris Kastanos,Salernitana, 24, AM(CR),,,2(8),283,-,-,2,-,0.8,75,0.5,-,6.20
913,Mattia Destro,Empoli, 31, FW,,,6(4),459,1,-,2,-,1.8,55.2,0.6,-,6.20
914,Abdou Harroui,Sassuolo, 25, DMC,M(R),,2(10),283,1,-,1,-,0.8,82.4,0.3,-,6.20
915,Salvatore Molina,Monza, 31, DMC,M(LR),,1(4),229,-,-,1,-,0.2,81,-,-,6.19
916,Emil Ceïde,Sassuolo, 21, Forward,,,3(8),292,-,-,-,-,0.2,70.9,0.1,-,6.19
917,Emanuel Vignato,Bologna, 22, AM(CL),,,2(6),239,-,1,1,-,0.1,80.2,0.3,-,6.19
918,Emirhan Ilkhan,Torino, 18, M(C),,,1(3),88,-,-,1,-,0.5,83.7,0.3,-,6.19
919,Nicola Murru,Sampdoria, 28, D(L),M(L),,2(5),242,-,-,1,-,-,80.2,0.7,-,6.19
920,Kevin Lasagna,Verona, 30, AM(CL),FW,,9(5),869,1,2,1,-,2.3,58.3,0.5,-,6.19
921,Giacomo Quagliata,Cremonese, 22, D(L),,,4(9),489,-,-,-,-,0.7,72.4,0.2,-,6.18
922,Mato Jajalo,Udinese, 34, M(C),,,0(3),61,-,-,-,-,0.7,79.3,0.3,-,6.18
923,Domagoj Bradaric,Salernitana, 23, D(L),M(L),,7(6),757,-,1,2,-,0.3,81.9,0.3,-,6.18
924,Hamed Traorè,Sassuolo, 22, AM(CLR),,,4(5),442,-,1,1,-,0.8,83.3,0.2,-,6.18
925,Warren Bondo,Monza, 19, Midfielder,,,0(4),56,-,-,1,-,0.3,88,0.3,-,6.18
926,Christian Gytkjær,Monza, 32, FW,,,2(11),379,1,-,-,-,0.8,69.7,0.5,-,6.17
927,Joel Voelkerling Persson,Lecce, 20, Forward,,,0(1),18,-,-,-,-,-,80,1,-,6.17
928,Alessandro Zanoli,Sampdoria, 22, D(R),,,0(2),72,-,-,-,-,0.5,80,-,-,6.17
929,Francesco Caputo,Sampdoria, 35, FW,,,13(2),1100,1,-,-,-,1.3,71.9,0.4,-,6.16
930,Alessio Zerbin,Napoli, 23, Forward,,,0(4),52,-,-,1,-,0.3,62.5,-,-,6.15
931,Ivan Radovanovic,Salernitana, 34, D(C),DMC,,7(3),672,-,-,1,1,0.7,81.1,0.8,-,6.15
932,Michel Adopo,Torino, 22, Midfielder,,,1(3),102,-,-,1,-,-,84.9,0.5,-,6.15
933,Giangiacomo Magnani,Verona, 27, D(C),,,2(4),182,-,-,1,1,0.2,64.3,1.3,-,6.15
934,Nicolò Rovella,Juventus, 21, DMC,,,0(3),23,-,-,1,-,0.7,100,-,-,6.15
935,Gerard Yepes,Sampdoria, 20, Midfielder,,,2(3),198,-,-,2,-,0.2,73.3,1,-,6.14
936,Jack Hendry,Cremonese, 27, D(C),,,2(2),218,-,-,1,-,-,87.8,2,-,6.14
937,Kristijan Bistrovic,Lecce, 24, DMC,,,5(6),460,-,-,-,-,0.7,76.5,0.2,-,6.14
938,Raoul Bellanova,Inter, 22, M(R),,,0(9),107,-,-,-,-,0.2,89.8,0.1,-,6.13
939,Festy Ebosele,Udinese, 20, M(R),,,0(3),16,-,-,1,-,0.3,80,0.7,-,6.13
940,Thórir Helgason,Lecce, 22, M(C),,,2(4),148,-,-,-,-,0.2,81.1,-,-,6.13
941,Matteo Cancellieri,Lazio, 20, Forward,,,1(13),195,-,-,2,-,0.3,78.3,0.3,-,6.13
942,Kristjan Asllani,Inter, 20, M(C),,,2(7),243,-,-,2,-,0.6,88.7,-,-,6.13
943,Viktor Kovalenko,Spezia, 26, M(C),,,4(4),338,-,-,1,-,0.5,80.1,0.3,-,6.13
944,Georginio Wijnaldum,Roma, 32, M(CLR),,,0(1),11,-,-,-,-,1,100,-,-,6.13
945,Andrea Belotti,Roma, 29, FW,,,2(12),362,-,-,-,-,0.6,70,0.4,-,6.13
946,Youssef Maleh,Fiorentina, 24, M(C),,,4(3),299,-,-,2,-,1,86,0.4,-,6.13
947,Roberto Piccoli,Verona, 21, FW,,,2(4),185,-,-,-,-,0.7,70.6,0.2,-,6.13
948,Alessandro Cortinovis,Verona, 21, Midfielder,,,0(1),6,-,-,-,-,-,80,-,-,6.12
949,Aster Vranckx,AC Milan, 20, M(C),,,0(7),72,-,-,-,-,-,60.6,0.4,-,6.12
950,João Moutinho,Spezia, 25, D(L),M(L),,0(2),24,-,-,-,-,-,91.7,-,-,6.12
951,Tommaso Milanese,Cremonese, 20, Midfielder,,,0(2),27,-,-,-,-,-,75,-,-,6.12
952,Edoardo Bove,Roma, 20, Midfielder,,,1(6),126,-,-,1,-,0.4,76.7,0.1,-,6.11
953,Diego Valencia,Salernitana, 23, Forward,,,0(9),150,-,-,-,-,0.1,70.8,0.2,-,6.11
954,Marco D'Alessandro,Monza, 31, M(LR),,,3(5),287,-,-,2,-,0.5,78.7,0.3,-,6.11
955,Gaetano Castrovilli,Fiorentina, 25, M(C),,,0(3),54,-,-,1,-,0.7,95.7,0.3,-,6.10
956,Leandro Sanca,Spezia, 23, Forward,,,0(4),29,-,-,-,-,-,80,-,-,6.10
957,Yann Karamoh,Torino, 24, AM(LR),FW,,0(7),146,-,-,1,-,0.9,78.4,0.3,-,6.10
958,Daniele Montevago,Sampdoria, 19, Forward,,,3(3),228,-,-,1,-,1.2,62.2,2.3,-,6.10
959,Eldor Shomurodov,Roma, 27, FW,,,1(5),115,-,-,-,-,1,78.1,0.3,-,6.09
960,Jean-Daniel Akpa Akpro,Empoli, 30, D(R),M(CLR),,3(5),365,-,-,2,2,0.3,80.7,0.5,-,6.09
961,Albin Ekdal,Spezia, 33, M(C),,,5(9),542,-,1,1,1,0.4,71.7,0.5,-,6.07
962,Gonzalo Villar,Sampdoria, 24, DMC,,,8(7),695,-,-,2,-,0.1,84.2,0.6,-,6.07
963,Felix Afena-Gyan,Cremonese, 20, Forward,,,2(7),263,-,-,1,-,0.6,85.2,0.8,-,6.07
964,Gregoire Defrel,Sassuolo, 31, AM(CR),FW,,1(6),170,-,-,1,-,0.7,69.7,0.1,-,6.06
965,Fabio Quagliarella,Sampdoria, 39, FW,,,2(10),324,-,-,2,-,1.4,70,0.4,-,6.06
966,Marcin Listkowski,Lecce, 24, Forward,,,0(5),75,-,-,-,-,0.2,75,0.2,-,6.06
967,Diego Demme,Napoli, 31, DMC,,,0(3),20,-,-,-,-,-,100,-,-,6.05
968,Pablo Rodríguez,Lecce, 21, Forward,,,0(4),50,-,-,-,-,-,81.3,-,-,6.05
969,Niklas Pyyhtia,Bologna, 19, Midfielder,,,0(2),29,-,-,-,-,1,72.2,-,-,6.04
970,David Strelec,Spezia, 21, Forward,,,1(6),165,-,-,-,-,0.4,58.1,0.7,-,6.04
971,Julius Beck,Spezia, 17, Midfielder,,,0(1),9,-,-,-,-,-,100,-,-,6.03
972,Valentín Carboni,Inter, 17, Midfielder,,,0(2),3,-,-,-,-,-,62.5,-,-,6.03
973,Samuele Vignato,Monza, 18, Midfielder,,,0(3),15,-,-,-,-,-,83.3,-,-,6.03
