,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
1694,Niklas Süle,Borussia Dortmund, 27, D(CR),,,9(3),787,1,1,1,-,0.9,88.6,1,-,6.58
1695,Simon Terodde,Schalke, 34, FW,,,13(2),1058,3,-,3,-,1.8,67.6,2.1,2,6.57
1696,David Raum,RBL, 24, D(L),M(LR),,12(2),1035,-,1,2,-,0.5,80.6,0.6,-,6.57
1697,Paul Jaeckel,Union Berlin, 24, D(C),DMC,,8(3),798,1,-,1,-,0.2,79.9,1.1,1,6.57
1698,Chidera Ejuke,Hertha Berlin, 25, AM(CLR),FW,,9(6),791,-,3,-,-,1.4,82.7,0.3,-,6.56
1699,Maxim Leitsch,Mainz, 24, D(C),,,7,621,-,-,-,-,0.3,77.2,2.1,-,6.56
1700,Marco Richter,Hertha Berlin, 25, AM(CLR),FW,,5(7),526,3,2,3,-,1.7,68.7,0.2,-,6.56
1701,Niko Gießelmann,Union Berlin, 31, D(CL),M(L),,7(4),653,-,2,2,-,1.1,74.9,1,-,6.56
1702,Callum Hudson-Odoi,Leverkusen, 22, M(CLR),,,5(4),480,-,1,-,-,0.2,89,-,-,6.56
1703,Donyell Malen,Borussia Dortmund, 24, AM(L),FW,,9(1),679,-,1,-,-,1.8,77.9,0.3,-,6.56
1704,Micky van de Ven,Wolfsburg, 21, D(C),,,15,1350,1,-,3,-,0.4,88.4,1.1,1,6.56
1705,Andrej Kramaric,Hoffenheim, 31, AM(CLR),FW,,11(3),1031,3,2,1,-,1.7,80.3,0.3,-,6.56
1706,Niklas Schmidt,Werder Bremen, 24, AM(C),,,1(6),201,1,-,-,-,0.7,75.9,0.3,-,6.55
1707,Tiago Tomás,Stuttgart, 20, AM(CR),FW,,9(4),726,2,2,1,-,1.3,60.9,0.2,-,6.55
1708,Julian Weigl,Borussia M.Gladbach, 27, D(C),DMC,,10(1),903,-,-,3,-,0.2,88.1,1,-,6.55
1709,Henning Matriciani,Schalke, 22, D(CR),,,8,697,-,-,-,-,-,74.7,2,-,6.55
1710,Amos Pieper,Werder Bremen, 25, D(C),,,13(1),1104,-,1,6,-,0.5,78.3,2.1,-,6.54
